dataset,journal,year,embargoLgth,dataType,format,noFiles,fileExt,fileExtReuse,readme,analysisPgrm,analysisCode,codeArchived,complScore,reuseScore,suppMat,notes
68,Journal of Evolutionary Biology,2013,0,meas/obs,table,1,.xls,0,1,JMP,NA,0,2,4,0,"Missing  data: sub-datasets based on raw data are used in some analyses. The raw data are archived, but not the derived data such as lifetime fecundity, lifetime reproduction, etc. The authors include an explanation of the data and what is not included in the archived data file. Seems like an attempt to control data reuse by only presenting raw data and means?"
69,The American Naturalist,2013,0,meas/obs,table,1,.csv,1,1,R,1,0,2,5,0,"The readme file is sufficient. The means for frogs are presented but data for the predators are missing (needed for figs 1, 2).  The percent reflectance for each frog at each wavelength is available but not brightness or other derrived measures. The data for the supplementary figures are also missing. However, the data that are archived could easily be reused."
70,The American Naturalist,2013,1,meas/obs,table,3,.xls,0,0,SAS,1,0,3,3,0,"The file descriptions are incomplete: there are some columns without headings. It is iImpossible to make sense of the data files without the paper. The data for one analysis justifying aggregation are not presented. The data file for survivorship is very difficult to interpret (data are not organized in logical way, column headings are missing)."
71,Evolution,2013,0,meas/obs,"table, movie",15,.csv,1,1,R,1,0,2,4,0,The metadata and archived files are complete except for some units that are not specified. Data are missing for one species (presumably collected for the other paper by the authors cited in the manuscript). It is not clear if these data are archived somewhere else; there is no link given.
72,Evolution,2013,0,meas/obs,table,4,.xlsx,0,1,R,1,0,5,4,1,All the data are present (including meteorological data). The readme files are clear and detailed. Some data archived as supplementary material.
73,Evolution,2013,0,meas/obs,table,1,.xlsx,0,1,JMP,NA,0,2,4,1,"The archived file contains some raw data, no derived data, and sometimes pooled data instead of data for each replicate. Some data for Fig 2 and Table 1 are missing. Some data archived as supplemental material"
74,Evolution,2013,-1,meas/obs,table,5,.csv,1,1,R,1,1,5,5,0,"Some data are missing that are not key to the analysis, but described in the methods (iButton data for nest temp, chick weights at 4th measurement day). The authors collected genetic data (not archived) and other data to assign parentage to the chicks. Omission of DNA sequences or parentage analysis is ok since parentage is known by researchers based on non-gegetic data as well - important info for the paper is parent ID, not how they detmined parent ID."
75,Evolution,2013,0,meas/obs,table,1,.xlsx,0,0,not specified,NA,0,4,3,0,"The is no readme file, and the metadata in the Dryad description box are not complete (one can deduce most column headings, but not they are not always immediately clear without reading the paper). The methods are clearly written, so it is easy to verify that all the necessary data are archived, but the paper is needed for this."
76,The American Naturalist,2013,0,meas/obs,table,6,".csv, .xlsx",0,1,"R, JMP",1,0,3,3,0,"The metadata are included in the Dryad description box, but some categories remain unclear. Data are missing on condition, home range size, individual ID.  The name coding of individuals is not consistent between the files and the manuscript, making it impossible to tell which mare is which. "
77,The American Naturalist,2013,0,meas/obs,table,1,.xlsx,0,1,not specified,NA,0,5,1,0,"The readme file is clear and all the data necessary to reproduce the analyses are there, but the data are not re-usable (standardized data not raw data, so meaningless to a potential re-user)."
78,The American Naturalist,2013,0,meas/obs,table,7,".txt, .rtf",0,1,R,1,0,5,4,0,The metadata are good and all the data (but not some of the raw data) necessary to reproduce the analyses are adequately archived.
79,Journal of Evolutionary Biology,2013,0,meas/obs,table,1,.xlsx,0,0,"R, SPSS",1,0,4,1,0,"The metadata are incomplete: there is no legend for numbers (i.e. experimental subgroups). It is necessary to refer to the paper to make sense of the archived data. The authors archived processed variables or residuals, not the measured variables, making re-use by a third party difficult."
80,Evolution,2013,0,meas/obs,table,3,.csv,1,1,JMP,NA,0,5,5,0,The readme file is excellent. The archived data files are almost complete. The inbreeding coefficient can be calculated but is not included in the data files. Some raw data are missing.
81,Science,2013,-1,meas/obs,table,1,.xlsx,0,1,not specified,NA,0,2,1,0,Half of the data (on species abundance) is missing. This is acknowledged in the paper. Means rather than raw data are archived (e.g. for species richness).
82,Evolution,2013,1,meas/obs,table,1,.xls,0,0,R,1,some,2,3,0,"The metadata in the Dryad description box are not sufficient to understand the column headings (the paper is needed). The archived data refers to figures in the paper, but some analyses with no supporting figures do not have associated data archived. The data appear to be missing from competitve fitness assay and cost of resistance (no figures on these results). It is very difficult to match up headings in the methods to those in the results."
83,Journal of Evolutionary Biology,2013,0,meas/obs,table,1,.xlsx,0,0,R,1,0,3,3,0,"The metadata in the Dryad description box are insufficient: the column headings are not explained, the units for the different columns are not given, but they can be found in the text. There are some data missing for one analysis and one figure (fig. 5)."
84,Journal of Evolutionary Biology,2013,0,meas/obs,table,2,.xls,0,0,R,1,0,1,1,0,"There is no readme file or text entered in the Dryad description box. The column headings are in Spanish (the paper is in English), making it impossible for non-spanish Speakers to make sense of the archived files. It is unclear what some headings represent, even for Spanish speakers (encuentros column, 1 and 0's in row refer to number of times recaptured?)."
85,Journal of Evolutionary Biology,2013,0,meas/obs,table,1,.sav,0,0,SPSS,NA,0,4,3,0,"The data is archived in .sav format (file compatible with SPSS statistical program). The data cannot be  accessed without this software (not free) or some other fix. Some small conversion problem (some values converted to dates in excel) and some information is missing in the metadata, but can be understood from  reading the paper."
86,Biology Letters,2013,-1,"x, y coordinates",table,1,.xls,0,0,Graphpad Instat,NA,0,3,3,0,"The metadata in the Dryad description box are extremely limited. It is not clear what the coordinates refer to: x1, y1 presumably refer to 1 ant, but the data could be interpreted differently. There are no data for homing ants. Data are only presented for foraging ants.  Data available for figure1 panel c-f, but not a, b."
87,Journal of Evolutionary Biology,2013,1,meas/obs,table,2,.xlsx,0,0,R,1,0,3,1,0,"There are missing details in the readme file which are essential to interpret the coding of variable sex: the analysis can be reproduced, but the data cannot be properly interpreted because one cannot distinguish which birds are what sex."
88,The American Naturalist,2013,1,meas/obs,table,1,.txt,1,0,SAS,1,0,2,1,0,"The metadata in the Dryad description box are insufficient (e.g. am vs. pm is coded as 0 or 1 but the key is not provided). Most of the covariates are not archived (mass, temp, time since feeding)."
89,Biology Letters,2013,-1,meas/obs,table,1,.xls,0,0,not specified,NA,0,4,3,0,All the data needed for the paper are archived but there is no metadata to interpret column headings. It is necessary to refer to the text in the paper to make sense of the archived data.
90,Evolution,2013,1,meas/obs,table,2,.csv,1,0,R,1,0,3,1,1,"There is no readme file or data descriptors explaining the column headings, units of measurement or species abbreviations. The shape and centroid data for macroevolutionary patterns are missing; some data (PC scores) are available only in the supplemental material, but other data needed for the figures and analyses are not included. Table 1 has average PC scores seperated for males and females, but not for individuals. Some data cannot be easily reused (for the macroevolutionary component, PCA data are available as online supplementary information as a pdf document)."
91,The American Naturalist,2013,1,meas/obs,table,5,".xls, .xlsx",0,0,R,1,0,1,1,0,"Incomplete metadata: column headings/abbreviations are only provided for the first archived file (morphological data). There is more data archived than used in the paper: it is very difficult to assess which variables are used in the analysis. The files are extremely difficult to understand because there are more columns than variables included in the analyses and only some column headings are explained. Some data appear to be missing (e.g. on defensive behaviour), some variables are in the wrong format (e.g. dates are unintelligible) and some column headings look like they are in French."
92,Evolution,2013,0,meas/obs/simulations,table,4,".txt, .rtf",0,0,R,1,some,4,5,0,"The readme files are complete but the wrong file is archived for female traits. The data files used directly in the analyses are not archived, but values can be calculated based on the description in the text. All the data necessary to reproduce the analyses are archived."
93,Evolution,2013,0,meas/obs/gen,table,1,.xlsx,0,1,"SAS, R, Genemapper",1,0,3,3,1,"The file description on Dryad is good and details which figures and tables the archived data are used for (Fig. 1 and 2, Table 1). A worksheet in the Excel file lists the variable (column) names and units. The data in the worksheet are complete to reproduce the tables and figures. Some raw data are missing (ie. leaf number, width, length needed to calculate rosette size not there, but rosette size is, and this is what is used in the analysis). Genetic data (for the genotyping section of the paper) are not archived but the maternal ID info is there: genetic data supports the information in the paper, but is not absolutely needed to replicate the analyses in the paper. The supporting information has microsat loci used and genback accession numbers. There are missing data for a small analysis on differences between buds and mature flowers described in the methods."
94,Journal of Evolutionary Biology,2013,1,meas/obs/gen,table,3,.xlsx,0,0,SAS,1,0,2,1,0,"The file descriptions are fine. The online supplementary material has extra information on the methods, sample sizes from each population, description of landmarks used, eigenvector coefficients for morphometric warps, and model selection results. The archived data include only residuals, relative warps (PC of shape sizes) and centroid sizes, not raw data or data that can be reused for additional analyses. There is no relatedness data to calculate Fst, Fct and Fsc results presented in Table S1. The authors refer to previous papers for sequence data, but it is not clear which sequences are used and which populations are included (only 17 of 22 populations)."
95,Journal of Evolutionary Biology,2013,0,meas/obs,table,4,".csv, .xlsx",0,0,R,1,0,3,1,1,"The file description and column headings are ok, but there is no readme file. The paper is needed to fully make sense of the data. Missing size data and phylogenetic data used to test for allometric correlations and phylogenetic effects in the methods section: small omission. The data are not reusable (Geometric morphmetrics: PC and Procrusts data, but not shape data)."
96,Evolutionary Applications,2013,0,meas/obs,table,1,.xls,0,0,SAS,1,0,4,3,0,"The is no readme file. The text in the Dryad description box and the column headings can be used to make sense of the files, but there is no description of how fitness was estimated, etc. The paper needs to be read to obtain this information. All the data needed to reproduce the analyses are archived. The raw data needed to caluclate fitness and performance measures (ie. Number of seeds produced, survival, etc.) are not given."
97,Evolution,2013,1,meas/obs,table,1,.txt,1,0,R,1,0,4,4,0,"There is no readme file and the text in the Dryad description box does not define the column headings and variable coding (1, 0). The paper is needed to make sense of the data. There is extra data included that are not used in the analysis (i.e. Player gender and age). The authors do not include derrived variables like group cooperation and punishment frequency but these can be obtained from the raw data."
98,The American Naturalist,2013,0,meas/obs,table,5,.txt,1,1,R,1,some,5,4,1,"Excellent readme files and data description in designated Dryad box. The abbreviation and units are clearly specified in the Excel spreadsheets. All the data for the analyses are archived. The R code for some of the analyses is archived but has some  errors (e.g.: 95% CI for pred_STW3 are those used for pred_STW2, object 'STW12_Survival' not found). It is unclear where the simulation to approximate confidence intervals for optimal egg size estimates is. The code to examine the relationship between egg size and environmental quality and environmental growth models (model selection approach) is not provided. The raw data for the parentage analysis are not archived and the raw values used to calculate the weighted averages are also not provided. Data on offspring releases by dam, offspring cross type, and stream are archived as a pdf table in the electronic supplement material."
99,The American Naturalist,2013,0,meas/obs,table,5,.csv,1,0,R,1,0,4,4,0,"There is a readme file, but it is not clear how all the column headings match up to the data in the paper. One needs to carefully read the paper to understand the data files. Raw data are not given (i.e. only proportion of day spent active for activity score, not data from the 2 min sampling)."
100,Evolution,2013,1,meas/obs,table,2,.csv,1,0,R,1,0,2,1,0,"There is no readme, no units or scale for the landmarks given. A reader can guess what the landmarks are from the paper but there is not enough information provided to be 100% sure."
